csv_row_zero_based,column,source,target,raw_csv_value,yr,qtr,ap1,ap2,pax
33868,cr1,NA,,,2005,1,BQN,JFK,272
97911,cr1,NA,,,2005,1,HNL,JFK,1
98248,cr1,NA,,,2005,1,HNL,OAK,786
98249,cr1,NA,,,2005,1,HNL,OAK,11
119739,cr1,NA,,,2005,1,LIH,OAK,2
135660,cr1,NA,,,2005,1,OAK,OGG,807
97911,cr2,NA,,,2005,1,HNL,JFK,1
98242,cr2,NA,,,2005,1,HNL,OAK,1
98249,cr2,NA,,,2005,1,HNL,OAK,11
112654,cr2,NA,,,2005,1,KOA,OAK,6
119737,cr2,NA,,,2005,1,LIH,OAK,2
256420,cr1,NA,,,2005,2,HNL,OAK,1172
256421,cr1,NA,,,2005,2,HNL,OAK,15
271777,cr1,NA,,,2005,2,KOA,OAK,126
271778,cr1,NA,,,2005,2,KOA,OAK,1
279258,cr1,NA,,,2005,2,LIH,OAK,119
279259,cr1,NA,,,2005,2,LIH,OAK,4
295870,cr1,NA,,,2005,2,OAK,OGG,1209
420159,cr1,NA,,,2005,3,HNL,OAK,825
420160,cr1,NA,,,2005,3,HNL,OAK,12
256412,cr2,NA,,,2005,2,HNL,OAK,3
256421,cr2,NA,,,2005,2,HNL,OAK,15
268118,cr2,NA,,,2005,2,ITO,OAK,2
271773,cr2,NA,,,2005,2,KOA,OAK,2
271778,cr2,NA,,,2005,2,KOA,OAK,1
279254,cr2,NA,,,2005,2,LIH,OAK,5
279257,cr2,NA,,,2005,2,LIH,OAK,2
279259,cr2,NA,,,2005,2,LIH,OAK,4
420147,cr2,NA,,,2005,3,HNL,OAK,4
420157,cr2,NA,,,2005,3,HNL,OAK,1
420160,cr2,NA,,,2005,3,HNL,OAK,12
435527,cr1,NA,,,2005,3,KOA,OAK,93
435528,cr1,NA,,,2005,3,KOA,OAK,2
442977,cr1,NA,,,2005,3,LIH,OAK,116
442978,cr1,NA,,,2005,3,LIH,OAK,4
459729,cr1,NA,,,2005,3,OAK,OGG,811
435524,cr2,NA,,,2005,3,KOA,OAK,2
435528,cr2,NA,,,2005,3,KOA,OAK,2
442973,cr2,NA,,,2005,3,LIH,OAK,2
442978,cr2,NA,,,2005,3,LIH,OAK,4
1908093,cr1,NA,,,2007,4,BWI,JFK,27
2246274,cr1,NA,,,2008,2,BWI,JFK,6
