t,treated,mean_log_fare,mean_route_fare,route_count
1,0,5.087658415762363,180.30411852430322,103
1,1,5.308215209675025,208.00909211666502,156
2,0,5.132420068152625,186.8437164115329,104
2,1,5.3198117579118165,210.16796281466486,156
3,0,5.142121694533321,190.48161769565942,104
3,1,5.33526354948758,214.3571756704445,156
4,0,5.113198245848101,184.00724286715925,105
4,1,5.353264979366602,217.28241019529167,156
5,0,5.178881973411435,197.02541952765128,105
5,1,5.366219893430485,220.80809913262308,156
6,0,5.175835157917728,197.73647376919564,105
6,1,5.442410183627275,237.18604531850445,156
7,0,5.129691392800169,190.64862173959588,105
7,1,5.433545217672754,235.9883585116054,156
8,0,5.110827450547179,185.4288704575276,105
8,1,5.38690297765604,225.5226370989324,156
9,0,5.147239463889784,192.39786006869738,105
9,1,5.384253792058889,225.10391294103923,156
10,0,5.1678370385032,195.11484331404,105
10,1,5.438674398917903,237.19286558261038,156
11,0,5.1741603915198215,197.10530108918095,105
11,1,5.434310035160633,237.29294843203024,156
12,0,5.146988013556056,191.20127767563275,105
12,1,5.41635133883026,233.47811893615685,156
13,0,5.185651993511156,200.53803525635493,105
13,1,5.443988073907762,240.7626249258598,156
14,0,5.221748945256696,207.0310108721534,105
14,1,5.476311426624337,247.549902023091,156
15,0,5.275114436489318,220.36385544500067,105
15,1,5.496720171480722,253.97748834574108,156
16,0,5.255849095669802,214.30010081348075,105
16,1,5.439105831452463,239.5630483642606,156
17,0,5.199395285010168,202.65188202715797,105
17,1,5.338542450026579,217.92701105988263,156
18,0,5.1542214692548995,192.01392980542246,105
18,1,5.342404872784889,217.07938205472382,156
19,0,5.174027315409453,194.9051642644537,105
19,1,5.383858325991494,227.47775085058004,156
20,0,5.191442044480245,199.55750622012926,105
20,1,5.413957524287628,234.17120489223277,156
21,0,5.242933723629097,209.4192007929886,105
21,1,5.422055306336754,236.02159844088047,156
22,0,5.2475096937393095,208.3146100712515,105
22,1,5.453863091134958,241.12951660206772,156
23,0,5.3132535906712315,220.62986502779398,104
23,1,5.46263786574596,243.86537802004074,156
24,0,5.2591598514675235,212.83021702075604,105
24,1,5.4476676969548175,240.59562231417723,156
