t,b,se,p,lo,hi,percent,percent_lo,percent_hi
1,-0.03674970566267993,0.027766444077868022,0.18682197640708856,-0.09142544378303227,0.0179260324576724,-3.608263178290715,-8.737064419214725,1.8087668161957855
2,-0.07398990283443613,0.03016258735730567,0.014822866163957197,-0.13338395857867896,-0.014595847090193279,-7.1318929159525135,-12.487098569957036,-1.4489844075339238
3,-0.06823973763936696,0.03051191027386136,0.02616772901406362,-0.1283216556194609,-0.008157819659273015,-6.596347697751444,-12.042958512809582,-0.8124634948085102
4,-0.02929659175572047,0.026712991960966735,0.27377986597023346,-0.08189794570557919,0.023304762194138254,-2.8871606926215287,-7.863401674621359,2.3578440028321523
5,-0.08202540525516205,0.025688354619262225,0.0015808838982375598,-0.1326091150729072,-0.03144169543741689,-7.87514461555313,-12.419263489220752,-3.0952545305360686
6,-0.0027882995646656833,0.019517427859265277,0.8865097889775868,-0.041220652350762665,0.0356440532214313,-0.2784415867909757,-4.038263524195189,3.6286917845257562
7,0.034490499598366496,0.021472251864544375,0.10942566957607458,-0.007791155787814266,0.07677215498454726,3.5092194537825887,-0.7760883403531124,7.979602222118773
8,0.006712201834638415,0.017033098221491343,0.6938537164805209,-0.026828182923481,0.04025258659275783,0.6734779147598775,-2.647150402457364,4.1073702244199595
9,-0.03234899710511199,0.01632882220286363,0.04863383833359655,-0.06450257082430452,-0.00019542338591945624,-3.1831364939534224,-6.246629597548103,-0.019540429201339297
10,0.001474035140488661,0.014931514603861572,0.9214368672456406,-0.02792805826158576,0.03087612854256308,0.14751220642753696,-2.7541675372818006,3.135774018713243
11,-0.009213681633401541,0.011750216585684698,0.4336784023343519,-0.032351385658253615,0.013924022391450536,-0.9171365730258076,-3.183367745900733,1.4021413089665238
