specification,N,routes,treated_routes,control_routes,quarters,df_resid,b,se,p,lo,hi,percent,percent_lo,percent_hi
baseline,6259,261,156,105,24,5974,-0.058898457888606495,0.01888865234208276,0.0020242167637245143,-0.09609266993844107,-0.021704245838771917,-5.719750154693992,-9.16201673350432,-2.147040354078178
fixed_pre_pax,6259,261,156,105,24,5974,-0.11352324918070404,0.024297518778440587,4.7850398416404195e-06,-0.16136822241453863,-0.06567827594686945,-10.731655798873025,-14.902133600944573,-6.356791143951253
balanced,6216,259,156,103,24,5933,-0.056395934201177784,0.01901593341855876,0.0033027329159944405,-0.09384213664953532,-0.018949731752820248,-5.483516128863785,-8.957352612941424,-1.8771314350794894
omit_announcement_completion,5476,261,156,105,21,5194,-0.05960931780997092,0.02109100697551348,0.005074786459756739,-0.10114025244653323,-0.01807838317340861,-5.786746390394602,-9.619373704339619,-1.7915949523132308
exclude_crisis_window,4693,261,156,105,18,4414,-0.06378149419740578,0.021955033377426013,0.003987294840175343,-0.1070138091456694,-0.020549179249142166,-6.179001853995573,-10.148673479592981,-2.033948367881124
matched,4416,184,156,28,24,4208,-0.04656390219801111,0.02203404749642303,0.03593313043053518,-0.09003734044713219,-0.0030904639488900446,-4.549643625465726,-8.610294069073458,-0.3085693380868572
broad_any_presence,91445,3811,3706,105,24,87610,-0.05580639615677119,0.01680866042869664,0.0009083261203163852,-0.0887612342953523,-0.02285155801819007,-5.427778637726766,-8.493596659821021,-2.25924386793502
anycode_2007,121998,5085,3706,1379,24,116889,-0.012331722386714428,0.004666303128965395,0.008249571197966113,-0.02147968633764222,-0.0031837584357866343,-1.2255998287337633,-2.125064074877228,-0.317869565121747
broad_reconstruction,332949,14604,8180,6424,24,318321,0.00793225930880059,0.00273949375104189,0.0037909198518308383,0.002562505151260588,0.013302013466340593,0.7963803026827411,0.25657911738027944,1.3390878839765596
broad_both_periods,331606,14439,8137,6302,24,317143,0.007931440013827151,0.0027390414106499357,0.0037888229794874324,0.0025625674147401415,0.01330031261291416,0.7962977207488475,0.25658535970393775,1.3389155211882826
broad_all_controls,594407,31844,8180,23664,24,562539,0.015267885506266378,0.0021980112658819533,3.823848622446358e-12,0.010959698831794071,0.019576072180738684,1.5385035119802821,1.101997633754128,1.9768939957155796
exclude_zero_distance_route,6235,260,156,104,24,5951,-0.05744524765216803,0.01897288239914265,0.0027124274805600717,-0.0948059941773983,-0.02008450112693777,-5.582641530826024,-9.045062477285146,-1.9884151086335466
