route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
ABE-ABQ,4,40,55.75,232.2858937359804,0,0,0,0,138,0,0.0,1737.0,0,0,0,other,False,False,False
ABE-ABY,3,4,7.333333333333333,479.64285278320295,0,0,0,0,0,0,0.0,798.0,0,0,0,other,False,False,False
ABE-AEX,4,2,4.0,291.24999618530273,0,0,0,0,0,0,0.0,1152.0,0,0,0,other,False,False,False
ABE-AGS,4,6,14.25,287.6357135863533,0,0,0,0,0,0,0.0,620.0,0,0,0,other,False,False,False
ABE-AHN,4,1,2.5,348.20833587646473,0,0,0,0,0,0,0.0,635.0,0,0,0,other,False,False,False
ABE-ALB,4,13,17.0,187.12854323856897,0,0,0,0,0,0,0.0,167.0,0,0,0,other,False,False,False
ABE-ANC,2,7,15.0,348.70807737741393,0,0,0,0,10,0,0.0,3326.0,0,0,0,other,False,False,False
ABE-APF,2,2,4.5,224.64286041259749,0,0,0,0,0,0,0.0,1067.0,0,0,0,other,False,False,False
ABE-APN,2,1,1.5,408.0,0,0,0,0,0,0,0.0,513.0,0,0,0,other,False,False,False
ABE-ASE,1,4,4.0,288.0,0,0,0,0,0,0,0.0,1661.0,0,0,0,other,False,False,False
ABE-ATL,4,433,475.0,277.03100255147484,0,0,0,0,58,44,0.6584192416849719,693.0,1,0,0,other,True,False,False
ABE-ATW,4,29,45.25,215.69650497486523,0,0,0,1,0,1,0.004901960784313725,712.0,0,0,0,other,False,False,False
ABE-AUS,4,70,79.75,254.6947689066733,0,0,0,0,46,1,0.007142857142857143,1438.0,0,0,0,other,False,False,False
ABE-AVL,4,14,17.5,255.04586804458512,0,0,0,0,0,0,0.0,529.0,0,0,0,other,False,False,False
ABE-AZO,4,16,18.5,354.9024655793843,0,0,0,0,0,6,0.0,536.0,0,0,0,other,False,False,False
ABE-BDL,4,10,14.25,268.41988117597265,0,0,0,0,0,0,0.0,168.0,0,0,0,other,False,False,False
ABE-BGR,4,8,14.0,295.78245271238166,0,0,0,0,0,0,0.0,442.0,0,0,0,other,False,False,False
ABE-BHM,4,70,118.0,182.92922267434477,0,0,0,0,108,6,0.0,793.0,0,0,0,other,False,False,False
ABE-BIL,1,6,6.0,224.333335876465,0,0,0,0,0,0,0.0,1694.0,0,0,0,other,False,False,False
ABE-BMI,4,20,30.75,178.3839291772923,0,0,0,0,0,0,0.0,708.0,0,0,0,other,False,False,False
ABE-BNA,4,148,196.5,177.99308904836843,0,0,0,3,41,95,0.0,685.0,0,0,0,other,True,False,False
ABE-BOI,4,2,9.75,503.4619054158529,0,0,0,0,0,0,0.0,2082.0,0,0,0,other,False,False,False
ABE-BOS,4,62,118.75,193.5612660408137,0,0,0,0,4,0,0.01128173628173628,258.0,2,0,0,other,False,False,False
ABE-BQK,3,2,3.3333333333333335,163.55555725097668,0,0,0,0,0,0,0.0,732.0,0,0,0,other,False,False,False
ABE-BTR,4,16,38.5,201.84916716893514,0,0,0,0,0,1,0.0,1125.0,0,0,0,other,False,False,False
ABE-BTV,4,6,10.75,274.453569139753,0,0,0,0,0,0,0.0,289.0,0,0,0,other,False,False,False
ABE-BUF,4,9,13.75,267.3752128275031,0,0,0,0,0,0,0.0,232.0,0,0,0,other,False,False,False
ABE-BWI,4,1,3.5,264.1964310237339,0,0,0,0,0,0,0.0,121.0,0,0,0,other,False,False,False
ABE-BZN,3,2,11.333333333333334,302.30555364820697,0,0,0,0,2,0,0.0,1820.0,0,0,0,other,False,False,False
ABE-CAE,4,33,57.75,221.6169811954747,0,0,0,0,4,0,0.0,560.0,0,0,0,other,False,False,False
ABE-CAK,4,4,5.5,249.2624995761447,0,0,0,0,0,0,0.0,315.0,0,0,0,other,False,False,False
ABE-CHA,4,28,31.75,313.0892837086312,0,0,0,0,0,0,0.0,659.0,0,0,0,other,False,False,False
ABE-CHO,1,2,2.0,240.0,0,0,0,0,0,0,0.0,237.0,0,0,0,other,False,False,False
ABE-CHS,4,73,159.5,163.50540623014493,0,0,0,4,156,0,0.0,594.0,0,0,0,other,False,False,False
ABE-CID,4,22,31.75,193.1386128189841,0,0,0,0,0,0,0.028603603603603603,849.0,0,0,0,other,False,False,False
ABE-CIU,2,2,2.0,167.0,0,0,0,0,0,0,0.0,595.0,0,0,0,other,False,False,False
ABE-CLE,4,30,119.75,225.09130501150779,0,0,0,0,0,3,0.22183098591549297,339.0,0,0,0,other,False,False,False
ABE-CLT,4,384,463.25,233.4847549324022,0,0,0,4,22,90,0.829523820609391,481.0,0,0,0,other,True,False,False
ABE-CMH,4,55,87.0,144.92489729136034,0,0,0,0,24,123,0.023933387584282727,395.0,0,0,0,other,False,False,False
ABE-CMI,4,4,7.0,226.29807662963876,0,0,0,0,0,0,0.0,678.0,0,0,0,other,False,False,False
